realprice,neighbourhood,actualyearbuilt,zoning,lotsize,garagebinary,distance,structuresize,distancelrtopen,distancelrtvalleylinese,distancelrtvalleylinewest,apartment,theftcrime,personcrime
107958.48,ABBOTTSFIELD,1974,RF5,237.94701,0,7.426083069088378,112.0,3.463467112735731,6.762644078478695,8.201305101479079,0,0.0053191488,0.079787232
102768.16,ABBOTTSFIELD,1972,RF5,230.66299,0,7.443665640073111,99.0,3.154683687923758,6.905071321158779,8.216178809302857,0,0.0053191488,0.079787232
104844.29,ABBOTTSFIELD,1972,RF5,230.66299,0,7.443665640073111,99.0,3.154683687923758,6.905071321158779,8.216178809302857,0,0.0053191488,0.079787232
97923.875,ABBOTTSFIELD,1972,RF5,230.66299,0,7.443665640073111,99.0,3.154683687923758,6.905071321158779,8.216178809302857,0,0.0053191488,0.079787232
102768.16,ABBOTTSFIELD,1972,RF5,210.315,0,7.312248069499945,95.0,2.995293980006426,6.812990578668341,8.083749965101736,0,0.0053191488,0.079787232
113494.81,ABBOTTSFIELD,1972,RF5,230.66299,0,7.443665640073111,99.0,3.154683687923758,6.905071321158779,8.216178809302857,0,0.0053191488,0.079787232
106574.39,ABBOTTSFIELD,1972,RF5,224.57401,0,7.312248069499945,105.0,2.995293980006426,6.812990578668341,8.083749965101736,0,0.0053191488,0.079787232
110380.63,ABBOTTSFIELD,1974,RF5,237.94701,0,7.426083069088378,112.0,3.463467112735731,6.762644078478695,8.201305101479079,0,0.0053191488,0.079787232
107958.48,ABBOTTSFIELD,1974,RF5,237.94701,0,7.426083069088378,112.0,3.463467112735731,6.762644078478695,8.201305101479079,0,0.0053191488,0.079787232
107958.48,ABBOTTSFIELD,1974,RF5,237.94701,0,7.426083069088378,112.0,3.463467112735731,6.762644078478695,8.201305101479079,0,0.0053191488,0.079787232
110726.64,ABBOTTSFIELD,1974,RF5,237.94701,0,7.426083069088378,112.0,3.463467112735731,6.762644078478695,8.201305101479079,0,0.0053191488,0.079787232
110726.64,ABBOTTSFIELD,1972,RF5,203.186,0,7.312248069499945,95.0,2.995293980006426,6.812990578668341,8.083749965101736,0,0.0053191488,0.079787232
100000.0,ABBOTTSFIELD,1972,RF5,203.186,0,7.312248069499945,95.0,2.995293980006426,6.812990578668341,8.083749965101736,0,0.0053191488,0.079787232
132871.97,ALBANY,2013,RA7,72.933998,0,10.29209660720603,76.0,7.807212084075377,10.40926526833067,9.268517593493844,1,0.010701546,0.0
6228.3735,ALBANY,2014,RA7,10.63,0,10.24272673781035,18.5,7.757854379226171,10.36536223844142,9.2604443169117,0,0.010701546,0.0
445328.72,ALBANY,2013,RSL,427.58099,1,10.39190610181506,297.9,7.906957319795217,10.51197550894175,9.385617849044952,0,0.010701546,0.0
198615.92,ALBANY,2012,RA7,226.959,1,10.41571826198412,164.7,7.932160584594342,10.52334002881458,9.319449391263992,1,0.010701546,0.0
341522.5,ALBANY,2013,RSL,491.32501,1,10.58212581433518,260.4,8.09759937456561,10.70829178887896,9.613264619884864,0,0.010701546,0.0
138754.33,ALBANY,2013,RA7,75.364998,0,10.29209660720603,79.0,7.807212084075377,10.40926526833067,9.268517593493844,1,0.010701546,0.0
110380.63,ALBANY,2016,RA7,49.609001,0,10.24272673781035,56.5,7.757854379226171,10.36536223844142,9.2604443169117,1,0.010701546,0.0
6228.3735,ALBANY,2016,RA7,10.63,0,10.24272673781035,19.4,7.757854379226171,10.36536223844142,9.2604443169117,0,0.010701546,0.0
5882.353,ALBANY,2013,RA7,10.94,0,10.29209660720603,15.8,7.807212084075377,10.40926526833067,9.268517593493844,0,0.010701546,0.0
130449.83,ALBANY,2013,RA7,75.364998,0,10.29209660720603,78.9,7.807212084075377,10.40926526833067,9.268517593493844,1,0.010701546,0.0
6228.3735,ALBANY,2016,RA7,10.63,0,10.24272673781035,18.4,7.757854379226171,10.36536223844142,9.2604443169117,0,0.010701546,0.0
5882.353,ALBANY,2013,RA7,10.94,0,10.29209660720603,15.0,7.807212084075377,10.40926526833067,9.268517593493844,0,0.010701546,0.0
125605.54,ALBANY,2013,RA7,72.933998,0,10.29209660720603,76.0,7.807212084075377,10.40926526833067,9.268517593493844,1,0.010701546,0.0
303806.22,ALBANY,2013,RSL,409.54199,1,10.49825629508931,214.7,8.014441288009532,10.60697495421486,9.4069066540567,0,0.010701546,0.0
5882.353,ALBANY,2013,RA7,10.94,0,10.29209660720603,15.9,7.807212084075377,10.40926526833067,9.268517593493844,0,0.010701546,0.0
6228.3735,ALBANY,2016,RA7,10.63,0,10.24272673781035,18.4,7.757854379226171,10.36536223844142,9.2604443169117,0,0.010701546,0.0
6228.3735,ALBANY,2014,RA7,10.63,0,10.24272673781035,25.3,7.757854379226171,10.36536223844142,9.2604443169117,0,0.010701546,0.0
132871.97,ALBANY,2013,RA7,72.933998,0,10.29209660720603,76.1,7.807212084075377,10.40926526833067,9.268517593493844,1,0.010701546,0.0
6228.3735,ALBANY,2016,RA7,10.63,0,10.24272673781035,18.5,7.757854379226171,10.36536223844142,9.2604443169117,0,0.010701546,0.0
6228.3735,ALBANY,2014,RA7,10.63,0,10.24272673781035,18.5,7.757854379226171,10.36536223844142,9.2604443169117,0,0.010701546,0.0
114186.85,ALBANY,2013,RA7,63.209,0,10.29209660720603,66.6,7.807212084075377,10.40926526833067,9.268517593493844,1,0.010701546,0.0
209688.58,ALBANY,2012,RA7,228.414,1,10.41571826198412,173.7,7.932160584594342,10.52334002881458,9.319449391263992,0,0.010701546,0.0
